adr	cnt
http://administracja.sgh.waw.pl/en/dsl/Pages/default.aspx	0
http://architektura.um.warszawa.pl	0
http://es6-features.org/	0
http://kulikowisko.pl/kursy-prawa-jazdy/	0
http://sejm.gov.pl/Sejm8.nsf/poslowie.xsp	0
http://www.klubfocus.pl/o-nas	0
http://www.mdkopoczno.pl/index.php?cat=historia-mdk	0
http://www.mit.edu/research/	0
http://www.niebokopernika.pl/repertuar/	0
http://www.nsa.gov.pl/sprawozdania-roczne.php	0
https://amu.edu.pl/wiadomosci/aktualnosci/doktoranci/rekrutacja-do-szkoly-doktorskiej-uam2	0
https://arxiv.org/archive/astro-ph	0
https://awa.zh.ch/internet/volkswirtschaftsdirektion/awa/en/standortfoerderung/lebensraum/steuern.html	0
https://developer.mozilla.org/en-US/docs/Web/JavaScript/EventLoop	0
https://docs.djangoproject.com/pl/2.2/intro/	0
https://docs.python.org/3/whatsnew/3.7.html	0
https://mansfeld.pl/webdesign/strony-one-page-zalety-wady-mity/	0
https://maps.qed.ai/map/browse?page=1&selected_facets=region%3AAfrica	0
https://phillipreeve.net/blog/comparison-sigma-art-35mm-1-2-35mm-1-4-and-40mm-1-4/	0
https://pl.wikipedia.org/wiki/Bokeh	0
https://theoatmeal.com/comics/how_walk_human	0
https://uni.wroc.pl/przewodnik-dla-pierwszorocznych/	0
https://v8.dev/docs/webassembly-opcode	0
https://wiki.archlinux.org/index.php/Zsh	0
https://www.chromium.org/for-testers/bug-reporting-guidelines	0
https://www.fbi.gov/news/stories/rcfls-follow-the-modern-evidence-trail-081219	0
https://www.gatesfoundation.org/What-We-Do/Global-Health/Malaria	0
https://www.haskell.org/community/	0
https://www.icrc.org/en/war-and-law/treaties-customary-law/geneva-conventions	0
https://www.il.pw.edu.pl/index.php/pl/studia/i-stopnia-inzynierskie/kierunkowe-efekty-ksztalcenia	0
https://www.kgof.edu.pl/rejestracja/	0
https://www.mimuw.edu.pl/rekrutacja	0
https://www.napaluchu.waw.pl/czekam_na_ciebie/zasady_adopcji/	0
https://www.nsa.gov/what-we-do/cybersecurity/	0
https://www.oi.edu.pl/l/35/	0
https://www.oie.int/en/for-the-media/onehealth/	0
https://www.planetarium.edu.pl/noc-spadajacych-gwiazd-w-parku-slaskim/	0
https://www.pwpw.pl/Strefa_wiedzy/Zabezpieczenia/zabezpieczenia-dokumentow.html	0
https://www.stanford.edu/research/	0
https://www.w3.org/TR/css-grid-1/	0
https://www.who.int/immunization/newsroom/new-measles-data-august-2019/en/	0
https://www.word.waw.pl/egzaminy/wolne-terminy	0
https://www.zoo.lodz.pl/zwiedzanie-zoo/godziny-otwarcia/	0
http://kinoelektronik.pl/mazowieckie-centrum-kultury-medialnej-kultura-edukacja-sztuka-filmowa/	1
https://ethz.ch/en/research.html	1
https://szkolaimpro.pl	1
https://www.paperswithcode.com/about	1
https://www.whitehouse.gov/briefings-statements/remarks-president-trump-mass-shootings-texas-ohio/	1
https://www.worldanimalprotection.org/our-work/protecting-animals-communities	1
https://zoo.waw.pl/edukacja/oferta-edukacyjna	1
